Latitude,Longitude,Label,Year,Image_URL
48.855414,2.33425,Rue Jacob 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078538_001.jpg?itok=TiyqEQz0
48.884391,2.343847,Place Saint-Pierre 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078449_001.jpg?itok=FP-0H1-E
48.855414,2.33425,Rue Jacob 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078539_001.jpg?itok=zktysxe_
48.884391,2.343847,Place Saint-Pierre 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078450_001.jpg?itok=6xvqDIaz
48.855414,2.33425,Rue Jacob 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078540_001.jpg?itok=odKZ9uQZ
48.885895,2.33487,Rue Lepic 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078410_001.jpg?itok=XXH1Vhd7
48.885895,2.33487,Rue Lepic 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078411_001.jpg?itok=usdcCv_i
48.885895,2.33487,Rue Lepic 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078412_001.jpg?itok=8fnnX5-l
48.885895,2.33487,Rue Lepic 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078413_001.jpg?itok=fgGFgXca
48.884943,2.337073,Rue des Abbesses 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078414_001.jpg?itok=CqNstqCa
